GestureType,TrialNumber,Time,X_accl,Y_accl,Z_accl
G1,6,693,0.05714842304587364,0.1680261343717575,0.9324473738670349
G1,6,794,-0.04737946391105652,0.08303616940975189,1.0980312824249268
G1,6,896,0.05372928828001022,0.11673908680677414,1.037463665008545
G1,7,48,0.34777501225471497,0.11038926243782043,0.9949687123298645
G1,7,151,1.2313776016235352,0.3184681236743927,0.90509432554245
G1,7,251,0.6559857130050659,-0.9270744323730469,1.031113862991333
G1,7,353,-1.423337697982788,-0.44790688157081604,1.2836415767669678
G1,7,454,-0.09378202259540558,-0.011722752824425697,0.9768961071968079
G1,7,555,0.21100957691669464,0.2759731709957123,0.9505199790000916
G1,7,657,0.06642893701791763,0.1587456315755844,0.9925264120101929
G1,7,760,0.03370291739702225,0.15630337595939636,1.007179856300354
G1,7,863,0.09231668710708618,0.18609870970249176,1.034532904624939
G1,7,965,0.05519463121891022,0.2022174894809723,0.9407509565353394
G1,7,1066,0.000488448073156178,0.14702285826206207,1.0003416538238525
G1,7,1171,-0.011234304867684841,0.15141889452934265,0.9778730273246765
G1,8,44,0.35363641381263733,0.12308891117572784,0.7624674439430237
G1,8,147,1.2460309267044067,0.1680261343717575,0.8875101804733276
G1,8,249,0.1523957997560501,-1.1737407445907593,1.436037302017212
G1,8,349,-1.2010937929153442,-0.4254382848739624,0.8738335371017456
G1,8,453,-0.22468610107898712,0.17828354239463806,1.1766713857650757
G1,8,555,0.29746484756469727,0.5197087526321411,0.8503881096839905
G1,8,655,0.22322078049182892,0.42788052558898926,0.8459920287132263
G1,8,759,0.14995355904102325,0.4361841082572937,0.8757873177528381
G1,8,861,0.2149171531200409,0.41811153292655945,0.9456354379653931
G1,8,962,0.15337269008159637,0.40736567974090576,0.8972790837287903
G1,8,1064,0.08743220567703247,0.4015043079853058,0.9514968395233154
G1,8,1165,0.06887117773294449,0.41469240188598633,0.9104671478271484
G1,8,1267,0.08450151979923248,0.4078541398048401,0.9133979082107544
G1,8,1368,0.07229030877351761,0.4107848107814789,0.9090018272399902
G1,8,1470,-0.1255311518907547,0.29893019795417786,0.9651733636856079
G1,8,1574,-0.04200653359293938,0.19635611772537231,1.2465194463729858
G1,8,1676,0.009280513972043991,0.3912469148635864,0.8884870409965515
G1,8,1777,-0.007326721213757992,0.3780587911605835,0.864064633846283
G1,8,1879,-0.04347187653183937,0.37122052907943726,0.8821372389793396
G1,8,1985,-0.1504420042037964,0.341913640499115,0.61007159948349
G1,8,2088,-0.41469240188598633,0.058125317096710205,1.0916814804077148
G1,8,2190,-0.13676545023918152,-0.03419136255979538,1.2347967624664307
G1,8,2290,-0.27060022950172424,0.10941237211227417,0.9006982445716858
G1,8,2393,-0.15923406183719635,0.12455425411462784,1.0057145357131958
G1,8,2496,-0.0893859937787056,0.12895028293132782,0.9563812613487244
G1,8,2596,-0.18756404519081116,0.08694375306367874,1.0501632690429688
G1,8,2699,-0.17974887788295746,0.13725391030311584,1.006203055381775
G1,8,2802,-0.14360372722148895,0.13871924579143524,1.0047376155853271
G1,8,2903,-0.05568308010697365,0.17291061580181122,0.9339126944541931
G1,8,3005,-0.07424411177635193,0.15337269008159637,0.991549551486969
G1,8,3108,-0.03907584398984909,0.19977526366710663,0.9451470375061035
G1,8,3208,-0.1851218193769455,0.06935962289571762,1.01792573928833
G1,8,3311,-0.1426268219947815,0.0957358255982399,0.8938599824905396
G1,8,3412,-0.10697013139724731,0.06984807550907135,1.0667705535888672
G1,8,3514,-0.08401306718587875,0.09475892782211304,1.0530940294265747
G1,8,3617,-0.12308891117572784,0.09915495663881302,0.9944801926612854
G1,8,3718,-0.16265320777893066,0.0376105010509491,1.0565131902694702
G1,8,3820,-0.07668634504079819,0.06935962289571762,1.0184142589569092
G1,8,3923,0.04689101129770279,0.15434959530830383,1.0325793027877808
G1,8,4026,0.27353090047836304,0.23152439296245575,0.9519852995872498
G1,8,4128,-0.14360372722148895,0.03809894993901253,1.0301369428634644
